#SampleID	Metaphlan2_Analysis
k__Bacteria	98.20972
k__Viruses	1.79028
k__Bacteria|p__Bacteroidetes	63.63491
k__Bacteria|p__Firmicutes	15.51263
k__Bacteria|p__Proteobacteria	14.47131
k__Bacteria|p__Fusobacteria	2.94262
k__Viruses|p__Viruses_noname	1.79028
k__Bacteria|p__Actinobacteria	1.62149
k__Bacteria|p__Verrucomicrobia	0.02678
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	63.63491
k__Bacteria|p__Firmicutes|c__Clostridia	14.13018
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	7.66894
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	6.39285
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2.94262
k__Viruses|p__Viruses_noname|c__Viruses_noname	1.79028
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.62149
k__Bacteria|p__Firmicutes|c__Negativicutes	1.35879
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.40951
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.02678
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.02365
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	63.63491
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	14.13018
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	7.66894
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	6.39285
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2.94262
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	1.79028
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.59732
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1.35879
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.40951
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.02678
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.02365
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.01309
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.01108
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	33.19332
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	20.48343
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	8.04896
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	7.70726
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	7.66894
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	6.39285
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	3.42862
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	2.94262
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2.2509
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae	1.79028
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.59732
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	1.35723
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	1.12865
