#SampleID	Metaphlan2_Analysis
k__Bacteria	97.29433
k__Archaea	2.56681
k__Eukaryota	0.13887
k__Bacteria|p__Proteobacteria	20.09559
k__Bacteria|p__Acidobacteria	14.47035
k__Bacteria|p__Actinobacteria	12.19163
k__Bacteria|p__Chlorobi	9.17509
k__Bacteria|p__Cyanobacteria	8.12517
k__Bacteria|p__Chloroflexi	8.00257
k__Bacteria|p__Verrucomicrobia	6.4787
k__Bacteria|p__Planctomycetes	6.0417
k__Bacteria|p__Bacteroidetes	5.03961
k__Bacteria|p__Firmicutes	2.48327
k__Bacteria|p__Spirochaetes	2.44437
k__Archaea|p__Crenarchaeota	1.94433
k__Bacteria|p__Gemmatimonadetes	1.04129
k__Bacteria|p__Elusimicrobia	0.89648
k__Bacteria|p__Nitrospirae	0.80849
k__Archaea|p__Euryarchaeota	0.62248
k__Eukaryota|p__Ascomycota	0.13887
k__Bacteria|p__Actinobacteria|c__Actinobacteria	12.19163
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	9.8883
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	9.30367
k__Bacteria|p__Chlorobi|c__Chlorobia	9.17509
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname	8.00479
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	6.27088
k__Bacteria|p__Planctomycetes|c__Planctomycetia	5.27474
k__Bacteria|p__Chloroflexi|c__Chloroflexi	3.70566
k__Bacteria|p__Verrucomicrobia|c__Opitutae	3.36231
k__Bacteria|p__Acidobacteria|c__Acidobacteria_noname	3.10906
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2.44437
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2.10943
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	2.09828
k__Bacteria|p__Acidobacteria|c__Solibacteres	2.05762
k__Archaea|p__Crenarchaeota|c__Thermoprotei	1.94433
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1.87659
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	1.57971
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia_noname	1.53669
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	1.4225
k__Bacteria|p__Firmicutes|c__Bacilli	1.26588
k__Bacteria|p__Firmicutes|c__Clostridia	1.17331
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.04427
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	1.04129
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	1.03721
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	0.89648
k__Bacteria|p__Nitrospirae|c__Nitrospira	0.80849
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	0.80203
k__Bacteria|p__Bacteroidetes|c__Cytophagia	0.78699
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.78272
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	0.76696
k__Bacteria|p__Chloroflexi|c__Caldilineae	0.58569
k__Bacteria|p__Chloroflexi|c__Anaerolineae	0.57573
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	0.18133
k__Archaea|p__Euryarchaeota|c__Halobacteria	0.16343
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname	0.15149
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	0.13887
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	0.12038
k__Archaea|p__Euryarchaeota|c__Thermococci	0.09936
k__Archaea|p__Euryarchaeota|c__Methanococci	0.06837
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.04595
k__Archaea|p__Euryarchaeota|c__Archaeoglobi	0.03382
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.02454
k__Bacteria|p__Firmicutes|c__Negativicutes	0.01953
k__Archaea|p__Euryarchaeota|c__Thermoplasmata	0.01624
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname	0.01397
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	9.91546
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	9.30367
k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales	9.17509
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	7.2126
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	5.27474
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Chroococcales	4.13188
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	3.12634
k__Bacteria|p__Acidobacteria|c__Acidobacteria_noname|o__Acidobacteria_noname	3.10906
k__Bacteria|p__Chloroflexi|c__Chloroflexi|o__Chloroflexales	3.07938
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2.44437
k__Bacteria|p__Acidobacteria|c__Solibacteres|o__Solibacterales	2.05762
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	1.87659
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutae_noname	1.70131
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	1.661
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidales	1.62383
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	1.57971
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	1.5584
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia_noname|o__Methylacidiphilales	1.53669
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	1.44673
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	1.4225
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Nostocales	1.29023
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Oscillatoriales	1.23573
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes|o__Gemmatimonadales	1.04129
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.97244
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Prochlorales	0.94457
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	0.89648
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales	0.83027
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	0.80849
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	0.80203
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.79184
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	0.78699
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	0.77821
k__Bacteria|p__Planctomycetes|c__Phycisphaerae|o__Phycisphaerales	0.76696
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.74974
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0.69631
k__Bacteria|p__Chloroflexi|c__Chloroflexi|o__Herpetosiphonales	0.62628
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.58823
k__Bacteria|p__Chloroflexi|c__Caldilineae|o__Caldilineales	0.58569
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	0.57573
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	0.53588
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales	0.52014
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales	0.51707
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales	0.50319
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales	0.48771
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidia_noname	0.47445
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	0.47237
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0.46873
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.42932
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Pleurocapsales	0.40239
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	0.33214
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales	0.32152
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	0.30805
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	0.29344
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	0.27637
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.26128
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	0.22966
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	0.2152
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	0.21072
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Alphaproteobacteria_noname	0.20232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	0.17953
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	0.17838
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	0.16343
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.16177
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	0.15835
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_noname|o__Bacteroidetes_Order_II_Incertae_sedis	0.15149
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	0.13887
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	0.13143
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	0.12977
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	0.12038
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bdellovibrionales	0.11526
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales	0.10588
