#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Bacteroidetes	47.01356
k__Bacteria|p__Actinobacteria	19.3795
k__Bacteria|p__Verrucomicrobia	16.66961
k__Bacteria|p__Firmicutes	16.46301
k__Bacteria|p__Proteobacteria	0.47432
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	47.01356
k__Bacteria|p__Actinobacteria|c__Actinobacteria	19.3795
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	16.66961
k__Bacteria|p__Firmicutes|c__Bacilli	16.46301
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.47432
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	47.01356
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	19.3795
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	16.66961
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	16.46301
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.47432
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	29.57932
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	19.3795
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae	16.66961
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	16.46301
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	14.39232
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	3.04192
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.47432
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	29.57932
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	19.3795
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia	16.66961
