#SampleID	Metaphlan2_Analysis
k__Bacteria	99.6436
k__Viruses	0.3564
k__Bacteria|p__Firmicutes	53.15406
k__Bacteria|p__Bacteroidetes	17.72928
k__Bacteria|p__Fusobacteria	11.88027
k__Bacteria|p__Actinobacteria	8.46591
k__Bacteria|p__Proteobacteria	8.38751
k__Viruses|p__Viruses_noname	0.3564
k__Bacteria|p__Candidatus_Saccharibacteria	0.01649
k__Bacteria|p__Spirochaetes	0.01009
k__Bacteria|p__Firmicutes|c__Negativicutes	36.12985
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	16.23543
k__Bacteria|p__Firmicutes|c__Bacilli	12.24164
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	11.88027
k__Bacteria|p__Actinobacteria|c__Actinobacteria	8.46591
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	6.32125
k__Bacteria|p__Firmicutes|c__Clostridia	3.90357
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1.94541
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1.49385
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.879
k__Viruses|p__Viruses_noname|c__Viruses_noname	0.3564
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.12084
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname	0.01649
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.01009
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	36.12985
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	16.23543
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	11.88027
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	10.75915
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	7.26971
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	6.318
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	3.90357
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	1.94541
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	1.49385
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1.48248
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	1.1962
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.879
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales	0.29073
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	0.12084
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales	0.06567
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_noname|o__Candidatus_Saccharibacteria_noname	0.01649
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.01009
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.00325
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	36.12985
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	14.32971
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	8.60997
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	8.48495
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	6.58239
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	6.318
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	3.46534
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	3.39532
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2.14918
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	1.94541
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	1.90573
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	1.49385
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	1.48248
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.1962
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.879
