#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Firmicutes	69.81623
k__Bacteria|p__Bacteroidetes	22.96955
k__Bacteria|p__Deferribacteres	6.91274
k__Bacteria|p__Actinobacteria	0.30148
k__Bacteria|p__Firmicutes|c__Bacilli	66.25365
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	22.96955
k__Bacteria|p__Deferribacteres|c__Deferribacteres	6.91274
k__Bacteria|p__Firmicutes|c__Clostridia	3.56258
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.30148
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	66.25365
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	22.96955
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	6.91274
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	3.56258
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.30148
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	66.25365
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	21.56906
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	6.91274
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2.71221
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	1.24232
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.85037
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.30148
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.15817
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	66.25365
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides	12.27829
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	9.29077
k__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Mucispirillum	6.91274
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	2.71221
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	1.24232
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0.85037
