#SampleID	Metaphlan2_Analysis
k__Viruses	99.71194
k__Bacteria	0.18209
k__Archaea	0.10597
k__Viruses|p__Viruses_noname	99.71194
k__Bacteria|p__Firmicutes	0.17364
k__Archaea|p__Euryarchaeota	0.10597
k__Bacteria|p__Bacteroidetes	0.00391
k__Bacteria|p__Proteobacteria	0.00172
k__Bacteria|p__Actinobacteria	0.00136
k__Bacteria|p__Fibrobacteres	0.00074
k__Bacteria|p__Spirochaetes	0.00073
k__Viruses|p__Viruses_noname|c__Viruses_noname	99.71194
k__Bacteria|p__Firmicutes|c__Clostridia	0.17304
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.10597
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.00391
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.00136
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.00114
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	0.00074
k__Bacteria|p__Spirochaetes|c__Spirochaetia	0.00073
k__Bacteria|p__Firmicutes|c__Negativicutes	0.0006
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.00058
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname	99.63293
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	0.17304
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.10597
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales	0.079
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.00391
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales	0.00136
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.00114
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales	0.00074
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	0.00073
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.0006
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.00058
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname	82.72315
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Bromoviridae	16.8974
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.13511
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.10597
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Betaflexiviridae	0.079
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	0.03793
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Partitiviridae	0.00652
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae	0.00587
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.00391
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	0.00136
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.00114
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae	0.00074
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	0.00073
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.0006
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0.00058
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname	58.01064
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Sobemovirus	24.7125
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Bromoviridae|g__Alfamovirus	16.8974
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio	0.13511
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	0.10597
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Betaflexiviridae|g__Carlavirus	0.079
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0.03739
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae|g__Potyvirus	0.00587
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0.00391
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Partitiviridae|g__Betacryptovirus	0.00389
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Partitiviridae|g__Alphacryptovirus	0.00263
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella	0.00136
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0.00114
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter	0.00074
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema	0.00073
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella	0.0006
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified	0.00058
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0.00054
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lucerne_transient_streak_virus_satellite_RNA	43.91757
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Sobemovirus|s__Lucerne_transient_streak_virus	24.7125
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Bromoviridae|g__Alfamovirus|s__Alfalfa_mosaic_virus	16.8974
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Subterranean_clover_mottle_virus_satellite_RNA	14.09308
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_unclassified	0.13325
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0.10597
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Betaflexiviridae|g__Carlavirus|s__Red_clover_vein_mosaic_virus	0.079
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens	0.02902
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_albus	0.00837
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae|g__Potyvirus|s__Clover_yellow_vein_virus	0.00587
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Partitiviridae|g__Betacryptovirus|s__Betacryptovirus_unclassified	0.00389
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_ruminicola	0.00309
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Partitiviridae|g__Alphacryptovirus|s__White_clover_cryptic_virus_1	0.00263
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_fibrisolvens	0.00186
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified	0.00136
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans	0.00114
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bryantii	0.00082
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter_succinogenes	0.00074
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_bryantii	0.00073
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella|s__Mitsuokella_unclassified	0.0006
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_unclassified	0.00054
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lucerne_transient_streak_virus_satellite_RNA|t__PRJNA14501	43.91757
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Sobemovirus|s__Lucerne_transient_streak_virus|t__PRJNA15337	24.7125
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Bromoviridae|g__Alfamovirus|s__Alfalfa_mosaic_virus|t__PRJNA14667	16.8974
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Subterranean_clover_mottle_virus_satellite_RNA|t__PRJNA14503	14.09308
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Betaflexiviridae|g__Carlavirus|s__Red_clover_vein_mosaic_virus|t__PRJNA34841	0.079
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens|t__Ruminococcus_flavefaciens_unclassified	0.02902
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_albus|t__Ruminococcus_albus_unclassified	0.00837
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae|g__Potyvirus|s__Clover_yellow_vein_virus|t__PRJNA15353	0.00587
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_ruminicola|t__GCF_000025925	0.00309
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Partitiviridae|g__Alphacryptovirus|s__White_clover_cryptic_virus_1|t__PRJNA15061	0.00263
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_fibrisolvens|t__Butyrivibrio_fibrisolvens_unclassified	0.00186
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans|t__Desulfovibrio_desulfuricans_unclassified	0.00114
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bryantii|t__GCF_000179055	0.00082
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter_succinogenes|t__Fibrobacter_succinogenes_unclassified	0.00074
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_bryantii|t__GCF_000421345	0.00073
