feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	245	1747	+						2931966	PPA_RS00005	1503		old_locus_tag=PPA0001
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	245	1747	+	WP_002515747.1	WP_002515747.1		chromosomal replication initiator protein DnaA		2931966	PPA_RS00005	1503	500	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	2219	3379	+						2933053	PPA_RS00010	1161		old_locus_tag=PPA0002
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	2219	3379	+	WP_002517483.1	WP_002517483.1		DNA polymerase III subunit beta		2933053	PPA_RS00010	1161	386	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	3516	4169	+						23324526	PPA_RS00015	654		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	3516	4169	+	WP_002517540.1	WP_002517540.1		hypothetical protein		23324526	PPA_RS00015	654	217	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	4227	5411	+						2932134	PPA_RS00020	1185		old_locus_tag=PPA0004
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	4227	5411	+	WP_009640295.1	WP_009640295.1		DNA replication and repair protein RecF		2932134	PPA_RS00020	1185	394	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	5404	5997	+						2933194	PPA_RS00025	594		old_locus_tag=PPA0005
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	5404	5997	+	WP_002515904.1	WP_002515904.1		DUF721 domain-containing protein		2933194	PPA_RS00025	594	197	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	6061	6735	-						30769230	PPA_RS11945	675		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	6061	6735	-	WP_009640290.1	WP_009640290.1		ABC transporter ATP-binding protein		30769230	PPA_RS11945	675	224	
gene	pseudogene	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	7163	7621	-						30769231	PPA_RS11950	459		partial;pseudo
CDS	without_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	7163	7621	-				hypothetical protein		30769231	PPA_RS11950	459		partial;pseudo
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	7618	7746	-						23324529	PPA_RS00040	129		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	7618	7746	-	WP_002522464.1	WP_002522464.1		hypothetical protein		23324529	PPA_RS00040	129	42	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	8304	9491	+						2932535	PPA_RS00045	1188		old_locus_tag=PPA0008
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	8304	9491	+	WP_002515893.1	WP_002515893.1		mannose-6-phosphate isomerase, class I		2932535	PPA_RS00045	1188	395	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	9733	11805	+						2932237	PPA_RS00050	2073		old_locus_tag=PPA0009
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	9733	11805	+	WP_009640256.1	WP_009640256.1		DNA topoisomerase (ATP-hydrolyzing) subunit B		2932237	PPA_RS00050	2073	690	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	11847	14522	+						2932020	PPA_RS00055	2676		old_locus_tag=PPA0010
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	11847	14522	+	WP_002530866.1	WP_002530866.1		DNA gyrase subunit A		2932020	PPA_RS00055	2676	891	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	14515	15147	+						2931660	PPA_RS00060	633		old_locus_tag=PPA0011
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	14515	15147	+	WP_002517390.1	WP_002517390.1		membrane protein		2931660	PPA_RS00060	633	210	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	15246	16241	-						2931996	PPA_RS00065	996		old_locus_tag=PPA0012
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	15246	16241	-	WP_002518560.1	WP_002518560.1		lactate dehydrogenase		2931996	PPA_RS00065	996	331	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	16487	16684	-						30769232	PPA_RS11955	198		
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	16487	16684	-	WP_002530204.1	WP_002530204.1		hypothetical protein		30769232	PPA_RS11955	198	65	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	16732	17739	+						2931652	PPA_RS00070	1008		old_locus_tag=PPA0014
CDS	with_protein	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	16732	17739	+	WP_002515911.1	WP_002515911.1		LacI family DNA-binding transcriptional regulator		2931652	PPA_RS00070	1008	335	
gene	protein_coding	GCF_000008345.1	Primary Assembly	chromosome		NC_006085.1	17736	19241	+						2931997	PPA_RS00075	1506		old_locus_tag=PPA0015
