Family	Count	Hits	TotMarkerLength
1112175A	0.0	0	68
16S_Ribosomal_RNA_Methyltransferase_0	0.0	0	111
16S_Ribosomal_RNA_Methyltransferase_1	0.0	0	257
16S_Ribosomal_RNA_Methyltransferase_2	0.0	0	111
AAA21889	0.0	0	71
AAA22905	0.0	0	44
AAA25680	0.0	0	121
AAA25683	0.0	0	128
AAA25688	0.0	0	105
AAA25717	0.0	0	231
AAA26549	0.0	0	90
AAA26613	0.0	0	55
AAA26779	0.0	0	36
AAA50325	0.0	0	216
AAA83416	0.0	0	49
AAA86871	0.0	0	50
AAA87229	0.0	0	52
AAA98484	0.0	0	21
AAB03644	0.0	0	248
AAB08925	0.0	0	74
AAB36568	0.0	0	76
AAB47993	0.0	0	36
AAB51122	160.40839015120795	3558	295
AAB51440	0.0	0	43
AAB53259	0.0	0	116
AAB58160	0.0	0	230
AAB95639	0.0	0	300
AAC32027	0.0	0	161
AAC36915	0.0	0	231
AAC41391	0.0	0	19
AAC60780	0.0	0	33
AAC60781	0.0	0	34
AAC61670	0.0	0	158
AAC61671	0.0	0	66
AAC98092	0.0	0	77
AAD03491	0.0	0	72
AAD04032	0.0	0	300
AAD12753	0.0	0	112
AAD21213	0.0	0	39
AAD22144	0.0	0	126
AAD26631	0.0	0	243
AAD33243	0.0	0	112
AAD42180	0.0	0	31
AAD42181	0.0	0	138
AAD42182	0.0	0	200
AAD42184	0.0	0	16
AAD42185	0.0	0	77
AAD43097	0.0	0	153
AAD51059	0.0	0	87
AAD51344	0.0	0	120
AAD51345	0.0	0	238
AAD51346	0.0	0	69
AAF01499	0.0	0	300
AAF24088	0.0	0	148
AAF24091	0.0	0	167
AAF27723	0.0	0	205
AAF61331	0.0	0	80
AAF71282	0.0	0	145
AAF72358	0.0	0	10
AAF72359	0.0	0	300
AAF72361	0.0	0	179
AAF72362	0.0	0	60
AAF72364	0.0	0	89
AAF86641	0.0	0	26
AAF86642	0.0	0	168
AAG08983	0.0	0	183
AAG13410	0.0	0	130
AAK15701	0.0	0	103
AAK53556	0.0	0	62
AAK63223	0.0	0	39
AAL27442	0.0	0	227
AAL27443	0.0	0	141
AAL27445	0.0	0	49
AAL27446	0.0	0	274
AAL51021	0.0	0	110
AAM11666	0.0	0	41
AAM44847	0.0	0	300
AAM46773	0.0	0	77
AAN28721	0.0	0	52
AAN41427	0.0	0	45
AAN41433	0.0	0	67
AAN60217	0.0	0	26
AAP70377	0.0	0	71
AAP92507	0.0	0	189
AAP93922	0.0	0	124
AAQ16267	0.0	0	34
AAQ16268	0.0	0	21
AAQ16269	0.0	0	183
AAQ16271	0.0	0	56
AAQ16273	0.0	0	90
AAQ16274	0.0	0	300
AAQ21216	0.0	0	12
AAQ63644	0.0	0	160
AAQ92181	0.0	0	13
AAR96043	0.0	0	107
AAT90846	0.0	0	142
AAT90847	0.0	0	123
AAV74570	0.0	0	70
AAW30456	0.0	0	219
AAW66497	0.0	0	216
AAX76774	0.0	0	123
AAY21388	0.0	0	117
AAY52007	0.0	0	93
AAY52010	0.0	1	62
AAZ98836	0.0	0	200
AAZ98839	0.0	0	129
AAZ98840	0.0	0	31
ABA71729	0.0	0	165
ABB71176	0.0	0	52
ABB99435	0.0	0	195
ABCAntibioticEffluxPump_0	0.0	0	102
ABCAntibioticEffluxPump_10	0.0	0	14
ABCAntibioticEffluxPump_9	0.0	0	35
ABF69686	0.0	0	68
ABG36114	3.9204002090398853	390	129
ABN80187	5.549041043027054	25	44
ABO42050	0.0	0	54
ABP68837	0.0	0	37
ABQ42698	0.0	0	117
ABX00596	0.0	0	212
ABX79417	0.0	0	119
ABX79421	0.0	0	77
ACI02941	0.0	5	95
ACL82961	0.0	0	85
ACM47285	0.0	0	186
ANT3_1	0.0	0	90
ANT4_1	0.0	0	223
ANT6_0	0.0	0	109
ANT6_1	0.0	0	77
APH6_5	0.0	0	235
BAA02563	0.0	0	55
BAA02945	0.0	0	144
BAA07390	0.0	0	300
BAA07922	0.0	0	16
BAA31456	0.0	0	18
BAA34300	0.0	0	98
BAA34540	0.0	0	155
BAB20748	0.0	0	116
BAB59035	0.0	0	34
BAB71966	0.0	0	219
BAC67147	0.0	0	150
BAC77251	1.0358209946983834	2	8
BAC77725	0.0	0	45
BAE96116	0.0	0	102
BAF47404	0.0	0	33
BAF91108	0.0	0	77
BJP_1	0.0	0	202
CAA26199	0.0	0	142
CAA28209	0.0	0	131
CAA30357	0.0	0	148
CAA36304	0.0	0	290
CAA37699	0.0	0	102
CAA39038	0.0	0	86
CAA45050	0.0	0	131
CAA55770	0.0	0	179
CAA66307	0.0	0	266
CAA70425	0.0	0	195
CAA71441	0.0	0	98
CAA76069	0.0	0	124
CAA78046	0.0	0	98
CAA83855	0.0	0	182
CAA90431	0.0	0	250
CAB61645	0.0	0	70
CAB75346	0.0	0	155
CAC14594	0.0	0	102
CAC14595	0.0	0	37
CAC17625	0.0	0	91
CAC35724	0.0	0	33
CAC80727	0.0	0	241
CAC81324	0.0	0	171
CAD55718	0.0	0	295
CAD61201	0.0	0	113
CAD70268	0.0	0	300
CAE48334	0.0	0	18
CAE53424	0.0	0	108
CAF05908	0.0	0	135
CAG27847	0.0	0	134
CAG34233	0.0	0	169
CAG34266	0.0	0	115
CAG34706	0.0	0	129
CAG34724	0.0	0	100
CAH58703	0.0	0	76
CAH94334	0.0	0	116
CAI99385	0.0	0	175
CAJ77046	0.0	0	105
CAJ88549	0.0	0	102
CAJ93947	0.0	0	40
CAL18627	0.0	0	43
CAL48457	0.0	0	79
CAM12479	1.1610452848239499	15	300
CAM98046	0.0	0	37
CAQ42480	0.0	0	66
CAQ42481	0.0	0	29
CAZ48647	0.0	0	25
CMY-LAT-MOX-ACT-MIR-FOX_27	0.0	0	72
CTXM_83	0.0	0	30
CepA_3	4.932480927135159	55	47
Cfr23RibosomalRNAMethyltransferase_0	0.0	0	241
Cfr23RibosomalRNAMethyltransferase_1	0.0	0	160
Cfr23RibosomalRNAMethyltransferase_2	0.0	0	34
Cfr23RibosomalRNAMethyltransferase_3	0.0	0	25
CfxA_11	3.7503863601148364	25	162
Chloramphenicol_Acetyltransferase_CAT_3	0.0	0	14
Chloramphenicol_Acetyltransferase_CAT_7	0.0	0	93
Chloramphenicol_Acetyltransferase_CAT_8	0.0	0	25
Chloramphenicol_Acetyltransferase_CAT_9	0.0	0	33
Chloramphenicol_Phosphotransferase_CPT_0	0.0	0	80
Chloramphenicol_Phosphotransferase_CPT_2	0.0	0	53
Chloramphenicol_Phosphotransferase_CPT_3	0.0	0	84
Chloramphenicol_Phosphotransferase_CPT_4	0.0	0	125
Chloramphenicol_Phosphotransferase_CPT_5	0.0	0	104
Chloramphenicol_Phosphotransferase_CPT_6	0.0	0	156
Chloramphenicol_Phosphotransferase_CPT_7	0.0	0	119
ClassA_335	0.0	0	189
ClassC-AmpC_10	0.0	0	269
ClassC-AmpC_102	0.0	0	43
ClassC-AmpC_104	0.0	0	183
ClassC-AmpC_107	0.0	0	176
ClassC-AmpC_111	0.0	0	130
ClassC-AmpC_112	0.0	0	67
ClassC-AmpC_117	0.0	0	205
ClassC-AmpC_118	0.0	0	64
ClassC-AmpC_85	0.0	0	120
ClassC-AmpC_86	0.0	0	71
ClassC-AmpC_87	0.0	0	91
ClassC-AmpC_88	0.0	0	222
ClassC-AmpC_89	0.0	0	92
ClassC-AmpC_90	0.0	0	156
ClassC-AmpC_92	0.0	0	81
ClassC-AmpC_93	0.0	0	237
ClassC-AmpC_95	0.0	0	223
ClassC-AmpC_96	0.0	0	146
ClassD_1	0.0	0	222
ClassD_111	0.0	0	100
ClassD_132	0.0	0	206
ClassD_134	0.0	0	188
ClassD_20	0.0	0	80
ClassD_22	0.0	0	94
ClassD_33	0.0	0	105
ClassD_34	0.0	0	143
ClassD_36	0.0	0	66
ClassD_37	0.0	0	239
ClassD_41	0.0	0	220
ClassD_51	0.0	0	185
ClassD_7	0.0	0	111
ClassD_78	0.0	0	150
ClassD_8	0.0	0	141
ClassD_9	0.0	0	133
DHA_0	0.0	0	187
DIM-GIM-SIM_0	0.0	0	158
DIM-GIM-SIM_10	0.0	0	154
DIM-GIM-SIM_11	0.0	0	166
DIM-GIM-SIM_12	0.0	0	202
DIM-GIM-SIM_13	0.0	0	200
DIM-GIM-SIM_3	0.0	40	134
DIM-GIM-SIM_4	0.0	0	141
DIM-GIM-SIM_5	0.0	0	198
DIM-GIM-SIM_6	0.0	0	136
DIM-GIM-SIM_8	0.0	0	223
DIM-GIM-SIM_9	0.0	0	137
EAS48788	0.0	0	51
EDJ91555	0.0	0	120
EDK74221	0.0	0	34
EEQ96502	0.0	0	52
Erm23SRibosomalRNAMethyltransferase_0	0.0	0	148
Erm23SRibosomalRNAMethyltransferase_1	0.0	0	160
Erm23SRibosomalRNAMethyltransferase_10	0.0	0	257
Erm23SRibosomalRNAMethyltransferase_16	0.0	0	170
Erm23SRibosomalRNAMethyltransferase_22	0.0	0	87
Erm23SRibosomalRNAMethyltransferase_6	0.0	0	200
Erm23SRibosomalRNAMethyltransferase_7	0.0	0	34
Erm38_0	0.0	0	148
FluoroquinoloneResistantDNATopoisomerase_0	0.0	0	12
FluoroquinoloneResistantDNATopoisomerase_1	0.0	0	59
FluoroquinoloneResistantDNATopoisomerase_10	0.0	0	43
FluoroquinoloneResistantDNATopoisomerase_14	0.0	0	13
FluoroquinoloneResistantDNATopoisomerase_15	0.0	0	66
FluoroquinoloneResistantDNATopoisomerase_16	0.0	0	33
FluoroquinoloneResistantDNATopoisomerase_17	0.0	0	98
FluoroquinoloneResistantDNATopoisomerase_18	0.0	0	102
FluoroquinoloneResistantDNATopoisomerase_19	0.0	0	61
FluoroquinoloneResistantDNATopoisomerase_2	0.0	0	20
FluoroquinoloneResistantDNATopoisomerase_28	0.0	0	17
FluoroquinoloneResistantDNATopoisomerase_3	0.0	0	54
FluoroquinoloneResistantDNATopoisomerase_32	0.0	0	8
GOB_1	0.0	0	198
GOB_13	0.0	0	193
GOB_16	0.0	0	191
GOB_19	0.0	0	44
GOB_2	0.0	0	153
GOB_3	0.0	0	174
GOB_8	0.0	0	197
GOB_9	0.0	0	200
IND_0	0.0	0	54
IND_2	0.0	0	77
IND_5	0.0	0	79
L1_43	0.0	0	210
L1_56	0.0	0	179
LRA_0	0.0	0	146
LRA_2	0.0	0	197
MFSAntibioticEffluxPump_12	0.0	0	159
MFSAntibioticEffluxPump_17	0.0	0	210
MFSAntibioticEffluxPump_9	0.0	1	206
MacrolideGlycosyltransfer_0	0.0	0	29
MacrolideGlycosyltransfer_1	0.0	0	26
NP_040465	0.0	0	300
NP_052148	0.0	0	228
NP_052571	0.0	0	206
NP_052694	0.0	0	106
NP_052903	0.0	2	57
NP_115321	0.0	0	300
NP_214776	0.0	0	34
NP_217878	0.0	0	23
NP_232696	0.0	0	30
NP_240031	0.0	0	295
NP_242644	0.0	0	27
NP_249117	0.0	0	61
NP_249118	0.0	0	77
NP_249397	0.0	18	52
NP_250709	0.0	0	123
NP_251183	0.0	0	46
NP_252799	0.0	0	131
NP_252895	0.0	0	137
NP_252896	0.0	0	164
NP_252897	0.0	0	268
NP_253065	0.0	0	59
NP_253287	0.0	0	58
NP_253288	0.0	0	85
NP_268322	0.0	0	300
NP_344871	0.0	0	217
NP_347599	0.0	0	131
NP_348075	0.0	0	192
NP_355927	0.0	0	34
NP_356448	0.0	0	217
NP_370558	0.0	0	118
NP_370559	0.0	0	134
NP_370576	0.0	0	57
NP_370577	0.0	0	141
NP_371207	0.0	0	10
NP_371219	0.0	0	123
NP_372857	0.0	0	41
NP_388149	0.0	0	80
NP_389192	0.0	0	25
NP_389193	0.0	0	35
NP_389667	0.0	0	14
NP_390281	0.0	0	194
NP_390536	0.0	0	73
NP_390993	0.0	0	54
NP_391957	0.0	0	117
NP_414593	0.0	0	49
NP_414995	0.0	0	33
NP_416758	0.0	0	21
NP_417970	0.0	2	81
NP_418166	0.0	1	29
NP_418504	0.0	0	209
NP_418505	0.0	1	296
NP_460867	0.0	0	38
NP_465227	0.0	0	48
NP_478145	0.0	0	173
NP_511223	0.0	0	71
NP_518822	0.0	0	51
NP_598114	0.0	0	49
NP_733568	0.0	0	83
NP_745006	0.0	0	61
NP_752857	0.0	0	46
NP_755678	0.0	0	27
NP_764021	0.0	0	93
NP_775043	0.0	0	86
NP_783842	0.0	0	66
NP_826974	0.0	0	102
NP_832233	0.0	0	39
NP_840140	0.0	0	8
NP_846348	0.0	0	14
NP_862236	0.0	0	158
NP_878013	0.0	0	20
NP_878015	0.0	0	48
NP_878016	0.0	0	30
NP_878017	0.0	0	12
NP_878019	0.0	0	109
NP_878023	0.0	15	182
NP_880590	0.0	0	49
NP_927955	0.0	0	102
NP_931173	0.0	0	9
NP_932197	0.0	0	203
NP_934523	0.0	0	69
NP_976271	0.0	0	168
O87866	0.0	0	62
P00384	0.0	0	60
P00484	0.0	0	128
P00487	0.0	0	119
P00553	0.0	0	218
P00555	0.0	0	136
P00808	0.0	0	65
P05789	0.0	0	300
P06571	6.186153162782011	40	135
P07641	0.0	0	52
P07944	0.0	0	266
P08457	0.0	0	177
P08988	0.0	0	159
P09885	0.0	0	219
P09891	0.0	0	261
P09979	0.0	0	300
P10051	0.0	0	118
P10337	32.06112602637853	368	165
P11504	0.0	0	80
P12056	0.0	0	165
P13079	0.0	0	208
P13246	0.0	0	72
P13249	0.0	0	133
P14171	0.0	0	217
P14508	0.0	0	243
P14509	0.0	0	184
P14559	0.0	0	107
P18150	0.0	0	57
P18622	0.0	0	77
P18644	0.0	0	158
P20074	0.0	0	139
P22390	0.0	0	34
P22391	0.0	0	31
P22616	0.0	0	49
P23181	0.0	0	68
P25256	0.0	0	132
P26825	0.0	0	81
P26839	0.0	0	86
P28585	0.0	0	43
P29753	0.0	0	155
P29808	0.0	0	233
P29810	0.0	0	101
P30180	0.0	0	101
P30897	0.0	0	167
P30898	12.566945891561266	119	217
P30899	2.157960405621632	21	131
P31141	0.0	0	70
P37321	0.0	0	119
P39886	0.0	0	249
P42334	0.0	0	112
P42670	0.0	0	195
P43433	0.0	0	231
P45439	0.0	0	175
P49417	0.0	0	137
P50870	0.0	0	57
P51563	0.0	0	181
P52391	0.0	0	135
P52393	0.0	0	148
P52663	0.0	0	122
P52664	0.0	0	61
P52682	0.0	0	135
P52699	0.0	0	72
P60865	0.0	0	14
P72533	0.7616330843370466	8	124
P78218	0.0	0	24
P96712	0.0	0	67
PC1_0	0.0	0	210
Q00014	0.0	0	117
Q00982	0.0	0	153
Q00983	0.0	0	166
Q01166	0.0	0	57
Q01515	0.0	0	116
Q02652	0.0	0	119
Q02736	0.0	0	28
Q03377	0.0	0	37
Q03680	0.0	0	174
Q03986	0.0	0	167
Q06650	0.0	0	167
Q06778	0.0	0	171
Q07448	0.0	0	243
Q2KX31	0.0	0	42
Q49157	0.0	0	58
Q52424	0.0	0	178
Q55002	0.0	0	298
Q56415	0.0	0	16
Q59408	0.0	0	37
Q59517	0.0	0	95
Q8CXK5	0.0	0	31
Q93A44	0.0	0	300
Q9X3P3	0.0	0	297
RNDAntibioticEffluxPump_0	0.0	0	177
RNDAntibioticEffluxPump_1	0.0	0	199
RNDAntibioticEffluxPump_10	0.0	0	220
RNDAntibioticEffluxPump_11	0.0	0	291
RNDAntibioticEffluxPump_12	0.0	0	28
RNDAntibioticEffluxPump_13	0.0	0	44
RNDAntibioticEffluxPump_14	0.0	0	256
RNDAntibioticEffluxPump_2	0.0	0	102
RNDAntibioticEffluxPump_3	0.0	0	114
RNDAntibioticEffluxPump_4	0.0	0	21
RNDAntibioticEffluxPump_5	0.0	0	273
RNDAntibioticEffluxPump_7	0.0	5	123
RNDAntibioticEffluxPump_9	0.0	0	144
SPM_0	0.0	0	266
Sfh_0	0.0	0	191
SubclassB1_0	0.0	0	101
SubclassB1_102	0.0	0	47
SubclassB1_133	0.0	0	199
SubclassB1_136	0.0	0	109
SubclassB1_149	0.0	0	219
SubclassB1_151	0.0	0	297
SubclassB1_156	0.0	0	220
SubclassB1_16	0.0	0	199
SubclassB1_167	0.0	0	176
SubclassB1_172	0.0	0	203
SubclassB1_181	0.0	0	45
SubclassB1_205	0.0	0	94
SubclassB1_232	0.0	0	203
SubclassB1_238	0.0	0	259
SubclassB1_244	0.0	0	185
SubclassB1_257	0.0	0	249
SubclassB1_259	0.0	0	167
SubclassB1_260	0.0	0	210
SubclassB1_261	0.0	0	187
SubclassB1_264	0.0	0	121
SubclassB1_270	0.0	0	247
SubclassB1_271	0.0	0	211
SubclassB1_279	0.0	0	243
SubclassB1_281	0.0	0	234
SubclassB1_3	0.0	0	89
SubclassB1_306	0.0	0	34
SubclassB1_38	0.0	0	192
SubclassB1_54	0.0	0	178
SubclassB1_55	0.0	0	197
SubclassB1_58	0.0	0	180
SubclassB1_6	0.0	0	179
SubclassB1_7	0.0	0	163
SubclassB1_8	0.0	0	139
SubclassB1_9	0.0	0	158
SubclassB1_99	0.0	0	197
SubclassB2_13	0.0	0	170
SubclassB2_24	0.0	0	200
SubclassB3_101	0.0	0	217
SubclassB3_103	0.0	0	147
SubclassB3_104	0.0	0	282
SubclassB3_105	0.0	0	247
SubclassB3_108	0.0	0	232
SubclassB3_109	0.0	0	185
SubclassB3_110	0.0	0	180
SubclassB3_111	0.0	0	241
SubclassB3_112	0.0	0	222
SubclassB3_113	0.0	0	242
SubclassB3_114	0.0	0	196
SubclassB3_115	0.0	0	113
SubclassB3_116	0.0	0	300
SubclassB3_117	0.0	0	165
SubclassB3_120	0.0	0	221
SubclassB3_121	0.0	0	123
SubclassB3_123	0.0	0	219
SubclassB3_124	0.0	0	208
SubclassB3_125	0.0	0	198
SubclassB3_126	0.0	0	300
SubclassB3_127	0.0	0	223
SubclassB3_129	0.0	0	223
SubclassB3_131	0.0	0	64
SubclassB3_132	0.0	0	199
SubclassB3_133	0.0	0	199
SubclassB3_134	0.0	0	201
SubclassB3_137	0.0	0	262
SubclassB3_164	0.0	0	208
SubclassB3_3	0.0	0	179
SubclassB3_5	0.0	0	196
SubclassB3_66	0.0	0	208
SubclassB3_67	0.0	0	204
SubclassB3_69	0.0	0	244
SubclassB3_70	0.0	0	171
SubclassB3_81	0.0	3	104
SubclassB3_84	0.0	0	208
SubclassB3_86	0.0	0	237
SubclassB3_96	0.0	0	221
SubclassB3_99	0.0	0	281
T44117	0.0	0	300
TEM_137	0.0	0	65
TetX_1	0.0	0	10
Tetracycline_Resistance_MFS_Efflux_Pump_10	0.0	0	183
Tetracycline_Resistance_MFS_Efflux_Pump_14	0.0	0	300
Tetracycline_Resistance_MFS_Efflux_Pump_19	0.0	0	176
Tetracycline_Resistance_Ribosomal_Protection_Protein_9	0.0	0	104
WblE_0	0.0	0	15
WhiB2_1	0.0	0	35
YP_001005900	0.0	1	30
YP_001007284	0.0	0	20
YP_001020242	0.0	0	74
YP_001031495	0.0	0	117
YP_001038094	0.0	0	53
YP_001066168	0.0	0	49
YP_001068559	0.0	0	76
YP_001089504	0.0	0	52
YP_001096238	0.0	0	166
YP_001096294	0.0	0	42
YP_001096379	0.0	0	272
YP_001101962	0.0	0	84
YP_001102018	0.0	0	272
YP_001103000	0.0	0	102
YP_001124322	0.0	0	10
YP_001126889	0.0	0	26
YP_001140148	0.0	0	9
YP_001141049	0.0	0	101
YP_001144056	0.0	0	208
YP_001144149	0.0	0	98
YP_001155044	0.0	0	79
YP_001172713	0.0	0	20
YP_001175678	0.0	0	27
YP_001177494	0.0	0	59
YP_001186705	0.0	1	44
YP_001187667	0.0	0	35
YP_001187672	0.0	0	24
YP_001220608	0.0	0	300
YP_001252958	0.0	0	88
YP_001266290	0.0	0	76
YP_001308137	0.0	0	59
YP_001334578	0.0	0	17
YP_001345920	0.0	0	127
YP_001348697	0.0	0	13
YP_001373621	0.0	0	12
YP_001374841	0.0	0	11
YP_001389621	0.0	0	49
YP_001395695	0.0	0	93
YP_001396002	0.539490101405408	18	166
YP_001416709	0.0	0	84
YP_001420711	0.0	0	30
YP_001420884	0.0	0	19
YP_001420885	0.0	0	19
YP_001422387	0.0	0	22
YP_001434323	0.0	0	108
YP_001436507	0.0	0	55
YP_001437965	0.0	0	87
YP_001438116	0.0	0	33
YP_001438541	0.0	0	21
YP_001438873	0.0	0	35
YP_001451669	0.0	0	29
YP_001457897	0.269745050702704	1	18
YP_001468286	0.0	0	58
YP_001477377	0.0	0	102
YP_001477378	0.0	0	33
YP_001478290	0.0	0	102
YP_001478502	0.0	0	47
YP_001480516	0.0	0	20
YP_001486998	0.0	0	183
YP_001487997	0.0	0	51
YP_001527590	0.0	0	99
YP_001563294	0.0	0	30
YP_001572363	0.0	0	216
YP_001598107	0.0	0	68
YP_001616633	0.0	0	141
YP_001644752	0.0	0	22
YP_001668663	0.0	0	46
YP_001694417	0.0	0	33
YP_001696597	0.0	0	111
YP_001700011	0.0	0	36
YP_001713702	0.0	0	155
YP_001713703	0.0	0	36
YP_001713704	0.0	0	99
YP_001715353	0.0	0	187
YP_001715362	0.0	0	229
YP_001764893	0.0	0	27
YP_001797193	0.0	0	48
YP_001798653	0.0	0	151
YP_001812918	0.0	0	65
YP_001816601	0.0	0	43
YP_001821804	0.0	0	59
YP_001826640	0.0	0	64
YP_001834888	0.0	1	156
YP_001836040	1.2138527281621678	6	187
YP_001844878	0.0	0	45
YP_001896735	0.0	0	34
YP_001906372	0.0	0	8
YP_001921729	0.0	0	56
YP_001928076	0.0	0	251
YP_001965484	2.071641989396767	14	122
YP_001965795	0.0	0	19
YP_001966009	0.0	0	120
YP_001967743	0.0	1	262
YP_001969930	0.0	0	174
YP_002040143	0.0	0	36
YP_002115369	0.0	0	25
YP_002235153	0.0	0	65
YP_002239313	0.0	0	54
YP_002258163	0.0	0	31
YP_002269113	0.0	0	28
YP_002315561	0.0	0	58
YP_002317674	0.0	0	82
YP_002332855	0.0	0	65
YP_002333392	0.0	0	157
YP_002382193	0.0	0	17
YP_002382998	0.0	0	35
YP_002384137	0.0	0	109
YP_002384189	0.0	0	79
YP_002385298	0.0	0	80
YP_002385300	0.0	0	182
YP_002394666	0.0	0	68
YP_002398143	0.0	0	63
YP_002421432	0.0	0	81
YP_002434803	0.0	0	55
YP_002452159	0.0	0	57
YP_002479998	0.0	0	53
YP_002527555	0.0	0	200
YP_002559372	0.0	0	300
